word,definition,part of speech
conundrum,"puzzle, problem (Interpreting Jane’s behavior was a constant conundrum.)",n.
convene,"to call together (Jason convened his entire extended family for a discussion.)convention 1. (n.) an assembly of people (The hotel was full because of the cattle￾ranchers’ convention.) 2. (n.) a rule, custom (The cattle-ranchers have a conventionthat you take off your boots before entering their houses.)",v.
convivial,"characterized by feasting, drinking, merriment (The restaurant’s convivial atmosphere put me immediately at ease.)",adj.
convoluted,"intricate, complicated (Grace’s story was so convoluted that I couldn’t follow it.)",adj.
copious,"profuse, abundant (Copious amounts of Snapple were imbibed in the cafeteria.)",adj.
cordial,"warm, affectionate (His cordial greeting melted my anger at once.)",adj.
coronation,"the act of crowning (The new king’s coronation occurred the day after his father’s death.)",n.
corpulence,"extreme fatness (Henry’s corpulence did not make him any less attractive to his charming, svelte wife.)",adj.
corroborate,"to support with evidence (Luke’s seemingly outrageous claim was corroborated by witnesses.)",v.
corrosive,"having the tendency to erode or eat away (The effect of the chemical was highly corrosive.)",adj.
cosmopolitan,"sophisticated, worldly (Lloyd’s education and upbringing were cosmopolitan, so he felt right at home among the powerful and learned.)",adj.
counteract,"to neutralize, make ineffective (The antidote counteracted the effect of the poison.)coup 1. (n.) a brilliant, unexpected act (Alexander pulled off an amazing coup when he got a date with Cynthia by purposely getting hit by her car.) 2. (n.) the overthrow of a government and assumption of authority (In their coup attempt, the army officers stormed the Parliament and took all the legislators hostage.)",v.
covet,"to desire enviously (I coveted Moses’s house, wife, and car.)",v.
covert,"secretly engaged in (Nerwin waged a covertcampaign against his enemies, while outwardly appearing to remain friendly.)",adj.
credulity,"readiness to believe (His credulity made him an easy target for con men.)",n.
crescendo,"a steady increase in intensity or volume (The crescendo of the brass instruments gave the piece a patriotic feel.)",n.
criteria,"standards by which something is judged (Among Mrs. Fields’s criteria for good cookies are that they be moist and chewy.)",n.
culmination,"the climax toward which something progresses (The culmination of the couple’s argument was the decision to divorce.)",n.
culpable,"deserving blame (He was culpable of the crime, and was sentenced to perform community service for 75 years.)",adj.
cultivate,"to nurture, improve, refine (At the library, she cultivated her interest in spy novels.)",v.
cumulative,"increasing, building upon itself (The cumulative effect of hours spent in the sun was a deep tan.)",adj.
cunning,"sly, clever at being deceitful (The general devised a cunning plan to surprise the enemy.)",adj.
cupidity,"greed, strong desire (His cupidity made him enter the abandoned gold mine despite the obvious dangers.)",n.
cursory,"brief to the point of being superficial (Late for the meeting, she cast a cursory glance at the agenda.)",adj.
curt,"abruptly and rudely short (Her curt reply to my question made me realize that she was upset at me.)",adj.
curtail,"to lessen, reduce (Since losing his job, he had to curtail his spending.)D",v.
daunting,"intimidating, causing one to lose courage (He kept delaying the daunting act of asking for a promotion.)",adj.
dearth,"a lack, scarcity (An eager reader, she was dismayed by the dearth of classic books at the library.)",n.
debacle,"a disastrous failure, disruption (The elaborately designed fireworks show turned into a debacle when the fireworks started firing in random directions.)",n.
debase,"to lower the quality or esteem of something (The large raise that he gave himself debased his motives for running the charity.)",v.
debauch,"to corrupt by means of sensual pleasures (An endless amount of good wine and cheese debauched the traveler.)",v.
debunk,"to expose the falseness of something (He debunked her claim to be the world’s greatest chess player by defeating her in 18 consecutive matches.)",v.
decorous,"socially proper, appropriate (The appreciative guest displayed decorousbehavior toward his host.)",adj.
decry,"to criticize openly (The kind video rental clerk decried the policy of charging customers late fees.)",v.
deface,"to ruin or injure something’s appearance (The brothers used eggs and shaving cream to deface their neighbor’s mailbox.)",v.
defamatory,"harmful toward another’s reputation (The defamatory gossip spreading about the actor made the public less willing to see the actor’s new movie.)",adj.
defer,"to postpone something; to yield to another’s wisdom (Ron deferred to Diane, the expert on musical instruments, when he was asked about buying a piano.)",v.
deferential,"showing respect for another’s authority (His deferential attitude toward her made her more confident in her ability to run the company.)",adj.
defile,"to make unclean, impure (She defiled the calm of the religious building by playing her banjo.)",v.
deft,"skillful, capable (Having worked in a bakery for many years, Marcus was a deft bread maker.)",adj.
defunct,"no longer used or existing (They planned to turn the defunct schoolhouse into a community center.)",adj.
delegate,"to hand over responsibility for something (The dean delegated the task of finding a new professor to a special hiring committee.)",v.
deleterious,"harmful (She experienced the deleterious effects of running a marathon without stretching her muscles enough beforehand.)",adj.
deliberate,"intentional, reflecting careful consideration (Though Mary was quite upset, her actions to resolve the dispute were deliberate.)",adj.
delineate,"to describe, outline, shed light on (She neatly delineated her reasons for canceling the project’s funding.)",v.
demagogue,"a leader who appeals to a people’s prejudices (The demagoguestrengthened his hold over his people by blaming immigrants for the lack of jobs.)",n.
demarcation,"the marking of boundaries or categories (Different cultures have different demarcations of good and evil.)",n.
demean,"to lower the status or stature of something (She refused to demean her secretary by making him order her lunch.)",v.
demure,"quiet, modest, reserved (Though everyone else at the party was dancing and going crazy, she remained demure.)",adj.
denigrate,"to belittle, diminish the opinion of (The company decided that its advertisements would no longer denigrate the company’s competitors.)",v.
denounce,"to criticize publicly (The senator denounced her opponent as a greedy politician.)",v.
deplore,"to feel or express sorrow, disapproval (We all deplored the miserable working conditions in the factory.)",v.
depravity,"wickedness (Rumors of the ogre’s depravity made the children afraid to enter the forest.)",n.
deprecate,"to belittle, depreciate (Always over-modest, he deprecated his contribution to the local charity.)",v.
derelict,"abandoned, run-down (Even though it was dangerous, the children enjoyed going to the deserted lot and playing in the derelict house.)",adj.
deride,"to laugh at mockingly, scorn (The bullies derided the foreign student’s accent.)",v. 
derivative,"taken directly from a source, unoriginal (She was bored by his music because she felt that it was derivative and that she had heard it before.)",adj.
desecrate,"to violate the sacredness of a thing or place (They feared that the construction of a golf course would desecrate the preserved wilderness.)",v.
desiccated,"dried up, dehydrated (The skin of the desiccated mummy looked like old paper.)",adj.
desolate,"deserted, dreary, lifeless (She found the desolate landscape quite a contrast to the hustle and bustle of the overcrowded city.)",adj.
despondent,"feeling depressed, discouraged, hopeless (Having failed the first math test, the despondent child saw no use in studying for the next and failed that one too.)",adj.
despot,"one who has total power and rules brutally (The despot issued a death sentence for anyone who disobeyed his laws.)",n.
destitute,"impoverished, utterly lacking (The hurricane destroyed many homes and left many families destitute.)",adj.
deter,"to discourage, prevent from doing (Bob’s description of scary snakes couldn’t deter Marcia from traveling in the rainforests.)",v.
devious,"not straightforward, deceitful (Not wanting to be punished, the deviousgirl blamed the broken vase on the cat.)",adj.
dialect,"a variation of a language (In the country’s remote, mountainous regions, the inhabitants spoke a dialect that the country’s other inhabitants had difficulty understanding.)",n.
diaphanous,"light, airy, transparent (Sunlight poured in through the diaphanouscurtains, brightening the room.)didactic 1. (adj.) intended to instruct (She wrote up a didactic document showing new employees how to handle the company’s customers.) 2. (adj.) overly moralistic (His didacticstyle of teaching made it seem like he wanted to persuade his students not to understand history fully, but to understand it from only one point of view.)",adj.
diffident,"shy, quiet, modest (While eating dinner with the adults, the diffidentyouth did not speak for fear of seeming presumptuous.)diffuse 1. (v.) to scatter, thin out, break up (He diffused the tension in the room by making in a joke.) 2. (adj.) not concentrated, scattered, disorganized (In her writings, she tried unsuccessfully to make others understand her diffuse thoughts.)",adj.
dilatory,"tending to delay, causing delay (The general’s dilatory strategy enabled the enemy to regroup.)",adj.
diligent,"showing care in doing one’s work (The diligent researcher made sure to check her measurements multiple times.)",adj.
diminutive,"small or miniature (The bullies, tall and strong, picked on the diminutive child.)",adj.
dirge,"a mournful song, especially for a funeral (The bagpipers played a dirge as the casket was carried to the cemetery.)",n.
disaffected,"rebellious, resentful of authority (Dismayed by Bobby’s poor behavior, the parents sent their disaffected son to a military academy to be disciplined.)",adj.
disavow,"to deny knowledge of or responsibility for (Not wanting others to criticize her, she disavowed any involvement in the company’s hiring scandal.)",v.
discern,"to perceive, detect (Though he hid his emotions, she discerned from his body language that he was angry.)",v.
disclose,"to reveal, make public (The CEO disclosed to the press that the company would have to fire several employees.)",v.
discomfit,"to thwart, baffle (The normally cheery and playful children’s sudden misery discomfited the teacher.)",v.
discordant,"not agreeing, not in harmony with (The girls’ sobs were a discordantsound amid the general laughter that filled the restaurant.)",adj.
discrepancy,"difference, failure of things to correspond (He was troubled by the discrepancy between what he remembered paying for the appliance and what his receipt showed he paid for it.)",n.
discretion,"the quality of being reserved in speech or action; good judgment (Not wanting her patient to get overly anxious, the doctor used discretion in deciding how much to tell the patient about his condition.)",n.
discursive,"rambling, lacking order (The professor’s discursive lectures seemed to be about every subject except the one initially described.)disdain 1. (v.) to scorn, hold in low esteem (Insecure about their jobs, the older employees disdained the recently hired ones, who were young and capable.) 2. (n.)scorn, low esteem (After learning of his immoral actions, Justine held Lawrence in disdain.)",adj.
disgruntled,"upset, not content (The child believed that his parents had unjustly grounded him, and remained disgruntled for a week.)",adj.
disheartened,"feeling a loss of spirit or morale (The team was disheartened after losing in the finals of the tournament.)",adj.
disparage,"to criticize or speak ill of (The saleswoman disparaged the competitor’s products to persuade her customers to buy what she was selling.)",v.
disparate,"sharply differing, containing sharply contrasting elements (Having widely varying interests, the students had disparate responses toward the novel.)",adj.
dispatch,"to send off to accomplish a duty (The carpenter dispatched his assistant to fetch wood.)",v.
dispel,"to drive away, scatter (She entered the office as usual on Monday, dispellingthe rumor that she had been fired.)",v. 
disperse,"to scatter, cause to scatter (When the rain began to pour, the crowd at the baseball game quickly dispersed.)",v.
disrepute,"a state of being held in low regard (The officer fell into disrepute after it was learned that he had disobeyed the orders he had given to his own soldiers.)",n.
dissemble,"to conceal, fake (Not wanting to appear heartlessly greedy, she dissembled and hid her intention to sell her ailing father’s stamp collection.)",v. 
disseminate,"to spread widely (The politician disseminated his ideas across the town before the election.)dissent 1. (v.) to disagree (The principal argued that the child should repeat the fourth grade, but the unhappy parents dissented.) 2. (n.) the act of disagreeing (Unconvinced that the defendant was guilty, the last juror voiced his dissent with the rest of the jury.)dissipate 1. (v.) to disappear, cause to disappear (The sun finally came out and dissipated the haze.) 2. (v.) to waste (She dissipated her fortune on a series of bad investments.)",v.
dissonance,"lack of harmony or consistency (Though the president of the company often spoke of the company as reliant solely upon its workers, her decision to increase her own salary rather than reward her employees revealed a striking dissonancebetween her alleged beliefs and her actions.)",n.
dissuade,"to persuade someone not to do something (Worried that he would catch a cold, she tried to dissuade him from going out on winter nights.)",v.
distend,"to swell out (Years of drinking beer caused his stomach to distend.)",v.
dither,"to be indecisive (Not wanting to offend either friend, he dithered about which of the two birthday parties he should attend.)",v.
divine,"godly, exceedingly wonderful (Terribly fond of desserts, she found the rich chocolate cake to be divine.)",adj. 
divisive,"causing dissent, discord (Her divisive tactics turned her two friends against each other.)",adj.
divulge,"to reveal something secret (Pressured by the press, the government finally divulged the previously unknown information.)",v.
docile,"easily taught or trained (She successfully taught the docile puppy several tricks.)",adj.
dogmatic,"aggressively and arrogantly certain about unproved principles (His dogmatic claim that men were better than women at fixing appliances angered everyone.)",adj.
dormant,"sleeping, temporarily inactive (Though she pretended everything was fine, her anger lay dormant throughout the dinner party and exploded in screams of rage after everyone had left.)",adj.
dour,"stern, joyless (The children feared their dour neighbor because the old man would take their toys if he believed they were being too loud.)",adj.
dubious,"doubtful, of uncertain quality (Suspicious that he was only trying to get a raise, she found his praise dubious.)",adj.
duplicity,"crafty dishonesty (His duplicity involved convincing his employees to let him lower their salaries and increase their stock options, and then to steal the money he saved and run the company into the ground.)",n.
duress,"hardship, threat (It was only under intense duress that he, who was normally against killing, fired his gun.)",n.
dynamic,"actively changing (The parents found it hard to keep up with the dynamic music scene with which their children had become very familiar.)E",adj.
ebullient,"extremely lively, enthusiastic (She became ebullient upon receiving an acceptance letter from her first-choice college.)",adj.
eclectic,"consisting of a diverse variety of elements (That bar attracts an eclecticcrowd: lawyers, artists, circus clowns, and investment bankers.)",adj. 
ecstatic,"intensely and overpoweringly happy (The couple was ecstatic when they learned that they had won the lottery.)",adj.
edict,"an order, decree (The ruler issued an edict requiring all of his subjects to bow down before him.)",n.
efface,"to wipe out, obliterate, rub away (The husband was so angry at his wife for leaving him that he effaced all evidence of her presence; he threw out pictures of her and gave away all her belongings.)",v.
effervescent,"bubbly, lively (My friend is so effervescent that she makes everyone smile.)",adj.
efficacious,"effective (My doctor promised me that the cold medicine was efficacious, but I’m still sniffling.)",adj.
effrontery,"impudence, nerve, insolence (When I told my aunt that she was boring, my mother scolded me for my effrontery.)",n.
effulgent,"radiant, splendorous (The golden palace was effulgent.)",adj.
egregious,"extremely bad (The student who threw sloppy joes across the cafeteria was punished for his egregious behavior.)",adj.
elaborate,"complex, detailed, intricate (Dan always beats me at chess because he develops such an elaborate game plan that I can never predict his next move.)",adj.
elated,"overjoyed, thrilled (When she found out she had won the lottery, the writer was elated.)",adj.
elegy,"a speech given in honor of a dead person (At the funeral, the widow gave a moving elegy describing her love for her husband.)",n.
elicit,"to bring forth, draw out, evoke (Although I asked several times where the exit was, I elicited no response from the stone-faced policeman.)",v.
eloquent,"expressive, articulate, moving (The priest gave such an eloquent sermon that most churchgoers were crying.)",adj.
elucidate,"to clarify, explain (I didn’t understand why my friend was so angry with me, so I asked Janine to elucidate her feelings.)",v.
elude,"to evade, escape (Despite an intense search, the robber continues to elude the police.)",v.
emaciated,"very thin, enfeebled looking (My sister eats a lot of pastries and chocolate but still looks emaciated.)embellish 1. (v.) to decorate, adorn (My mom embellished the living room by adding lace curtains.) 2. (v.)to add details to, enhance (When Harry told me that he had “done stuff” on his vacation, I asked him to embellish upon his account.)",adj. 
embezzle,"to steal money by falsifying records (The accountant was fired for embezzling $10,000 of the company’s funds.)",v.
emend,"to correct or revise a written text (If my sentence is incorrect, the editor will emend what I have written.)eminent 1. (adj.) distinguished, prominent, famous (Mr. Phillips is such an eminentscholar that every professor on campus has come to hear him lecture.) 2. (adj.)conspicuous (There is an eminent stain on that shirt.)",v.
emollient,"soothing (This emollient cream makes my skin very smooth.)",adj.
emote,"to express emotion (The director told the actor he had to emote, or else the audience would have no idea what his character was going through.)",v.
empathy,"sensitivity to another’s feelings as if they were one’s own (I feel such empathy for my sister when she’s in pain that I cry too.)empirical 1. (adj.) based on observation or experience (The scientist gathered empiricaldata on the growth rate of dandelions by studying the dandelions behind his house.)2. (adj.) capable of being proved or disproved by experiment (That all cats hate getting wet is an empirical statement: I can test it by bathing my cat, Trinket.)",n. 
emulate,"to imitate (I idolize Britney Spears so much that I emulate everything she does: I wear her outfits, sing along to her songs, and date a boy named Justin.)",v.
enamor,"to fill with love, fascinate, usually used in passive form followed by “of” or “with” (I grew enamored of that boy when he quoted my favorite love poem.)",v.
encore,"the audience’s demand for a repeat performance; also the artist’s performance in response to that demand (At the end of the concert, all the fans yelled, “Encore! Encore!” but the band did not come out to play again.)",n.
encumber,"to weigh down, burden (At the airport, my friend was encumbered by her luggage, so I offered to carry two of her bags.)",v.
enervate,"to weaken, exhaust (Writing these sentences enervates me so much that I will have to take a nap after I finish.)",v.
enfranchise,"to grant the vote to (The Nineteenth Amendment enfranchisedwomen.)",v.
engender,"to bring about, create, generate (During the Olympics, the victories of U.S. athletes engender a patriotic spirit among Americans.)",v.
enigmatic,"mystifying, cryptic (That man wearing the dark suit and dark glasses is so enigmatic that no one even knows his name.)",adj.
enmity,"ill will, hatred, hostility (Mark and Andy have clearly not forgiven each other, because the enmity between them is obvious to anyone in their presence.)",n.
ennui,"boredom, weariness (I feel such ennui that I don’t look forward to anything, not even my birthday party.)",n.
entail,"to include as a necessary step (Building a new fence entails tearing down the old one.)",v.
enthrall,"to charm, hold spellbound (The sailor’s stories of fighting off sharks and finding ancient treasures enthralled his young son.)",v.
ephemeral,"short-lived, fleeting (She promised she’d love me forever, but her “forever” was only ephemeral: she left me after one week.)",adj. 
epistolary,"relating to or contained in letters (Some people call me “Auntie’s boy,” because my aunt and I have such a close epistolary relationship that we write each other every day.)",adj.
epitome,"a perfect example, embodiment (My mother, the epitome of good taste, always dresses more elegantly than I do.)",n.
equanimity,"composure (Even though he had just been fired, Mr. Simms showed great equanimity by neatly packing up his desk and wishing everyone in the office well.)",n. 
equivocal,"ambiguous, uncertain, undecided (His intentions were so equivocalthat I didn’t know whether he was being chivalrous or sleazy.)",adj.
erudite,"learned (My Latin teacher is such an erudite scholar that he has translated some of the most difficult and abstruse ancient poetry.)",adj.
eschew,"to shun, avoid (George hates the color green so much that he eschews all green food.)",v.
esoteric,"understood by only a select few (Even the most advanced students cannot understand the physicist’s esoteric theories.)",adj. 
espouse,"to take up as a cause, support (I love animals so much that I espouse animal rights.)",v.
ethereal,"heavenly, exceptionally delicate or refined (In her flowing silk gown and lace veil, the bride looked ethereal.)",adj. 
etymology,"the history of words, their origin and development (From the study of etymology, I know that the word “quixotic” derives from Don Quixote and the word “gaudy” refers to the Spanish architect Gaudí.)",n. 
euphoric,"elated, uplifted (I was euphoric when I found out that my sister had given birth to twins.)",adj.
evanescent,"fleeting, momentary (My joy at getting promoted was evanescentbecause I discovered that I would have to work much longer hours in a less friendly office.)",adj.
evince,"to show, reveal (Christopher’s hand-wringing and nail-biting evince how nervous he is about the upcoming English test.)",v.
exacerbate,"to make more violent, intense (The gruesome and scary movie I saw last night exacerbated my fears of the dark.)",v.
exalt,"to glorify, praise (Michael Jordan is the figure in basketball we exalt the most.)",v.
exasperate,"to irritate, irk (George’s endless complaints exasperated his roomate.)",v.
excavate,"to dig out of the ground and remove (The pharaoh’s treasures were excavated by archeologists in Egypt.)",v.
exculpate,"to free from guilt or blame, exonerate (My discovery of the ring behind the dresser exculpated me from the charge of having stolen it.)",v.
excursion,"a trip or outing (After taking an excursion to the Bronx Zoo, I dreamed about pandas and monkeys.)",n.
execrable,"loathsome, detestable (Her pudding is so execrable that it makes me sick.)",adj.
exhort,"to urge, prod, spur (Henry exhorted his colleagues to join him in protesting against the university’s hiring policies.)",v.
exigent,"urgent, critical (The patient has an exigent need for medication, or else he will lose his sight.)",adj.
exonerate,"to free from guilt or blame, exculpate (The true thief’s confession exonerated the man who had been held in custody for the crime.)",v.
exorbitant,"excessive (Her exorbitant praise made me blush and squirm in my seat.)",adj.
expedient,"advisable, advantageous, serving one’s self-interest (In his bid for reelection, the governor made an expedient move by tabling all controversial legislation.)",adj. 
expiate,"to make amends for, atone (To expiate my selfishness, I gave all my profits to charity.)",v.
expunge,"to obliterate, eradicate (Fearful of an IRS investigation, Paul tried to expunge all incriminating evidence from his tax files.)",v. 
expurgate,"to remove offensive or incorrect parts, usually of a book (The history editors expurgated from the text all disparaging and inflammatory comments about the Republican Party.)",v.
extant,"existing, not destroyed or lost (My mother’s extant love letters to my father are in the attic trunk.)",adj.
extol,"to praise, revere (Violet extolled the virtues of a vegetarian diet to her meat￾loving brother.)",v.
extraneous,"irrelevant, extra, not necessary (Personal political ambitions should always remain extraneous to legislative policy, but, unfortunately, they rarely are.)",adj.
extricate,"to disentangle (Instead of trying to mediate between my brother and sister, I extricated myself from the family tension entirely and left the house for the day.)",v. 
exult,"to rejoice (When she found out she won the literature prize, Mary exulted by dancing and singing through the school’s halls.)F",v.
fabricate,"to make up, invent (When I arrived an hour late to class, I fabricated some excuse about my car breaking down on the way to school.)façade 1. (n.) the wall of a building (Meet me in front of the museum’s main façade.) 2. (n.) a deceptive appearance or attitude (Despite my smiling façade, I am feeling melancholy.) facile 1. (adj.) easy, requiring little effort (This game is so facile that even a four-year￾old can master it.) 2. (adj.) superficial, achieved with minimal thought or care, insincere (The business was in such shambles that any solution seemed facile at best; nothing could really helpit in the long-run.)",v.
fallacious,"incorrect, misleading (Emily offered me cigarettes on the fallaciousassumption that I smoked.)",adj.
fastidious,"meticulous, demanding, having high and often unattainable standards (Mark is so fastidious that he is never able to finish a project because it always seems imperfect to him.)",adj.
fathom,"to understand, comprehend (I cannot fathom why you like that crabby and mean-spirited neighbor of ours.)",v.
fatuous,"silly, foolish (He considers himself a serious poet, but in truth, he only writes fatuous limericks.)",adj. 
fecund,"fruitful, fertile (The fecund tree bore enough apples to last us through the entire season.)felicitous 1. (adj.) well suited, apt (While his comments were idiotic and rambling, mine were felicitous and helpful.) 2. (adj.) delightful, pleasing (I spent a felicitousafternoon visiting old friends.)",adj.
feral,"wild, savage (That beast looks so feral that I would fear being alone with it.)",adj.
fervent,"ardent, passionate (The fervent protestors chained themselves to the building and shouted all night long.)",adj.
fetid,"having a foul odor (I can tell from the fetid smell in your refrigerator that your milk has spoiled.)",adj.
fetter,"to chain, restrain (The dog was fettered to the parking meter.)",v.
fickle,"shifting in character, inconstant (In Greek dramas, the fickle gods help Achilles one day, and then harm him the next.)",adj.
fidelity,"loyalty, devotion (Guard dogs are known for the great fidelity they show toward their masters.)",n.
figurative,"symbolic (Using figurative language, Jane likened the storm to an angry bull.)",adj.
flabbergasted,"astounded (Whenever I read an Agatha Christie mystery novel, I am always flabbergasted when I learn the identity of the murderer.)",adj.
flaccid,"limp, not firm or strong (If a plant is not watered enough, its leaves become droopy and flaccid.)",adj.
flagrant,"offensive, egregious (The judge’s decision to set the man free simply because that man was his brother was a flagrant abuse of power.)",adj.
florid,"flowery, ornate (The writer’s florid prose belongs on a sentimental Hallmark card.)",adj.
flout,"to disregard or disobey openly (I flouted the school’s dress code by wearing a tie-dyed tank top and a pair of cut-off jeans.)",v.
foil,"to thwart, frustrate, defeat (Inspector Wilkens foiled the thieves by locking them in the bank along with their stolen money.)",v.
forage,"to graze, rummage for food (When we got lost on our hiking trip, we foragedfor berries and nuts in order to survive.)",v.
forbearance,"patience, restraint, toleration (The doctor showed great forbearance in calming down the angry patient who shouted insults at him.)",n.
forestall,"to prevent, thwart, delay (I forestalled the cold I was getting by taking plenty of vitamin C pills and wearing a scarf.)",v.
forlorn,"lonely, abandoned, hopeless (Even though I had the flu, my family decided to go skiing for the weekend and leave me home alone, feeling feverish and forlorn.)",adj.
forsake,"to give up, renounce (My New Year’s resolution is to forsake smoking and drinking.)",v.
fortitude,"strength, guts (Achilles’ fortitude in battle is legendary.)",n.
fortuitous,"happening by chance, often lucky or fortunate (After looking for Manuel and not finding him at home, Harriet had a fortuitous encounter with him at the post office.)",adj. 
forum,"a medium for lecture or discussion (Some radio talk-shows provide a good forum for political debate.)",n.
foster,"to stimulate, promote, encourage (To foster good health in the city, the mayor started a “Get out and exercise!” campaign.)",v. 
fractious,"troublesome or irritable (Although the child insisted he wasn’t tired, his fractious behavior—especially his decision to crush his cheese and crackers all over the floor—convinced everyone present that it was time to put him to bed.)",adj.
fraught,"(usually used with “with”) filled or accompanied with (Her glances in his direction were fraught with meaning, though precisely what meaning remained unclear.)",adj. 
frenetic,"frenzied, hectic, frantic (In the hours between night and morning, the frenetic pace of city life slows to a lull.)",adj.
frivolous,"of little importance, trifling (Someday, all that anxiety about whether your zit will disappear before the prom will seem totally frivolous.)",adj.
frugal,"thrifty, economical (Richard is so frugal that his diet consists almost exclusively of catfish and chicken liver—the two most inexpensive foods in the store.)",adj.
furtive,"secretive, sly (Jane’s placement of her drugs in her sock drawer was not as furtive as she thought, as the sock drawer is the first place most parents look.)G",adj.
garish,"gaudy, in bad taste (Mrs. Watson has poor taste and covers every object in her house with a garish gold lamé.)",adj.
garrulous,"talkative, wordy (Some talk show hosts are so garrulous that their guests can’t get a word in edgewise.)",adj.
genial,"friendly, affable (Although he’s been known to behave like a real jerk, I would say that my brother is an overall genial guy.)",adj.
gluttony,"overindulgence in food or drink (Ada’s fried chicken tastes so divine, I don’t know how anyone can call gluttony a sin.)",n. 
goad,"to urge, spur, incite to action (Jim may think he’s not going to fight Billy, but Billy will goad Jim on with insults until he throws a punch.)",v.
gourmand,"someone fond of eating and drinking (My parents, who used to eat little more than crackers and salad, have become real gourmands in their old age.)",n.
grandiloquence,"lofty, pompous language (The student thought her grandiloquencewould make her sound smart, but neither the class nor the teacher bought it.)",n.
grandiose,"on a magnificent or exaggerated scale (Margaret planned a grandioseparty, replete with elephants, trapeze artists, and clowns.)",adj.
gratuitous,"uncalled for, unwarranted (Every morning the guy at the donut shop gives me a gratuitous helping of ketchup packets.)",adj.
gregarious,"drawn to the company of others, sociable (Well, if you’re not gregarious, I don’t know why you would want to go to a singles party!)",adj.
grievous,"injurious, hurtful; serious or grave in nature (Electrocuting the inmate without being sure of his guilt would be a truly grievous mistake.)",adj.
guile,"deceitful, cunning, sly behavior (Because of his great guile, the politician was able to survive scandal after scandal.)H",n.
hackneyed,"unoriginal, trite (A girl can only hear “I love you” so many times before it begins to sound hackneyed and meaningless.)",adj.
hallowed,"revered, consecrated (In the hallowed corridors of the cathedral, the disturbed professor felt himself to be at peace.)",adj.
hapless,"unlucky (My poor, hapless family never seems to pick a sunny week to go on vacation.)harangue 1. (n.) a ranting speech (Everyone had heard the teacher’s harangue about gum chewing in class before.) 2. (v.) to give such a speech (But this time the teacher harangued the class about the importance of brushing your teeth after chewing gum.)",adj.
hardy,"robust, capable of surviving through adverse conditions (I too would have expected the plants to be dead by mid-November, but apparently they’re very hardy.)",adj.
harrowing,"greatly distressing, vexing (The car crash was a harrowing experience, but I have a feeling that the increase in my insurance premiums will be even more upsetting.)",adj.
haughty,"disdainfully proud (The superstar’s haughty dismissal of her costars will backfire on her someday.)",adj.
hedonist,"one who believes pleasure should be the primary pursuit of humans (Because he’s such a hedonist, I knew Murray would appreciate the 11 cases of wine I bought him for his birthday.)",n.
hegemony,"domination over others (Britain’s hegemony over its colonies was threatened once nationalist sentiment began to spread around the world.)",n.
heinous,"shockingly wicked, repugnant (The killings were made all the more heinous by the fact that the murderer first tortured his victims for three days.)",adj.
heterogeneous,"varied, diverse in character (I hate having only one flavor so I always buy the swirled, or should I say heterogeneous, type of ice cream.)",adj.
hiatus,"a break or gap in duration or continuity (The hiatus in service should last two or three months—until the cable lines are repaired .)",n.
hierarchy,"a system with ranked groups, usually according to social, economic, or professional class (Women found it very difficult to break into the upper ranks of the department’s hierarchy.)",n. 
hypocrisy,"pretending to believe what one does not (Once the politician began passing legislation that contradicted his campaign promises, his hypocrisy became apparent.)",n.
hypothetical,"supposed or assumed true, but unproven (Even though it has been celebrated by seven major newspapers, that the drug will be a success when tested in humans is still hypothetical.)I",adj.
iconoclast,"one who attacks common beliefs or institutions (Jane goes to one protest after another, but she seems to be an iconoclast rather than an activist with a progressive agenda.)",n.
idiosyncratic,"peculiar to one person; highly individualized (I know you had trouble with the last test, but because your mistakes were highly idiosyncratic, I’m going to deny your request that the class be given a new test.)",adj.
idolatrous,"excessively worshipping one object or person (Xena’s idolatrousfawning over the band—following them on tour, starting their fan club, filming their documentary—is really beginning to get on my nerves.)",adj.
ignominious,"humiliating, disgracing (It was really ignominious to be kicked out of the dorm for having an illegal gas stove in my room.)",adj.
illicit,"forbidden, not permitted (The fourth-grader learned many illicit words from a pamphlet that was being passed around school.)",adj.
immerse,"to absorb, deeply involve, engross (After breaking up with her boyfriend, Nancy decided to immerse herself in her work in order to avoid crying.)",v.
immutable,"not changeable (The laws of physics are immutable and constant.)",adj.
impassive,"stoic, not susceptible to suffering (Stop being so impassive; it’s healthy to cry every now and then.)",adj.
impeccable,"exemplary, flawless (If your grades were as impeccable as your sister’s, then you too would receive a car for a graduation present.)",adj.
impecunious,"poor (“I fear he’s too impecunious to take me out tonight,” the bratty girl whined.)imperative 1. (adj.) necessary, pressing (It is imperative that you have these folders organized by midday.) 2. (n.) a rule, command, or order (Her imperative to have the folders organized by midday was perceived as ridiculous by the others.)",adj.
imperious,"commanding, domineering (The imperious nature of your manner led me to dislike you at once.)",adj.
impertinent,"rude, insolent (Most of your comments are so impertinent that I don’t wish to dignify them with an answer.)",adj.
impervious,"impenetrable, incapable of being affected (Because of their thick layer of fur, many seals are almost impervious to the cold.)",adj.
impetuous,"rash; hastily done (Hilda’s hasty slaying of the king was an impetuous, thoughtless action.)impinge 1. (v.) to impact, affect, make an impression (The hail impinged the roof, leaving large dents.) 2. (v.) to encroach, infringe (I apologize for impinging upon you like this, but I really need to use your bathroom. Now.)",adj.
