word,definition
Impermanent,not lasting or durable
Industrious,diligent and hardworking
Introverted,focused inwardly rather than out
Lethargic,sluggish and apathetic
Maxim,short statement of general truth
Negligible,insignificant and unimportant
Ostentatious,meant to impress and attract notice
Perplex,completely confuse or baffle someone
Precipice,edge or brink of danger or peril
Prudent,exercising good judgment
Reconciliation,restoration of friendly relations
Ruminate,think deeply about something
Somnolence,sleepiness or drowsiness
Sunder,"split, break, or wrench apart"
Torpid,mentally or physically inactive
Utmost,most extreme or greatest
Whimsical,playfully fanciful; unpredictable
Acumen,ability to make good judgments
Amend,make better or improve
Arson,act of setting fire to property
Bewilder,cause someone to be confused
Cathartic,providing psychological relief
Confound,cause confusion in someone
Deadpan,deliberately expressionless
Diligent,marked by steady or earnest effort
Egotistical,self‐centered or blatantly prideful
Epitome,a perfect example of something
Facile,effortlessly done in a superficial way
Galvanize,shock or excite into action
Hapless,unfortunate or unlucky
Impertinent,not showing proper respect
Ineffable,beyond words or indescribable
Intuitive,known/perceived by intuition
Lettered,formally educated or learned
Mediate,intervene between two parties
Nemesis,a long‐standing rival or archenemy
Ostracize,exclude someone from a group
Perseverance,steadfastness in action or belief
Precocious,overly mature at a young age
Pseudonym,fake name used to conceal identity
Recuperate,recover from illness or exertion
Rumpus,a noisy disturbance
Soporific,tending to induce drowsiness
Supercilious,acting like one is superior to others
Tortuous,full of twists and turns; complicated
Vacillate,be indecisive or waver
Willful,intentional or deliberate
Acute,experienced to an intense degree
Amiable,having a pleasant manner
Articulate,express an idea fluently
Biased,unfairly prejudiced for or against
Caustic,sarcastic in a bitter way
Congenial,"agreeable, friendly, and pleasant"
Dearth,a scarcity or lack of something
Din,"loud, prolonged, and irksome noise"
Egregious,outstandingly bad or shocking
Equable,calm and even‐ tempered
Facsimile,an exact copy of printed materials
Gambit,a sacrificial move to gain advantage
Heterogeneous,consisting of dissimilar parts
Impetuous,done quickly and without thought
Inept,having or showing no skill
Inundate,overwhelm with things; flood
Leviathan,something very large and powerful
Manifold,numerous and various
Neophyte,a person new to a subject or skill
Outlier,a thing that differs from rest of group
Persnickety,too concerned about trivial things
Precursor,one who comes before; ancestor
Psyche,the mind or spirit of a person
Refuge,protection from danger
Sabotage,destroy or hinder for advantage
Sordid,involving immoral actions or motives
Superficial,on the surface or without depth
Tousled,made disordered or tangled
Vague,of unclear or uncertain meaning
Winsome,charming in look or character
Adage,a proverb expressing a truth
Amicable,friendly or good‐ natured
Artifice,trickery or deception
Bigot,a person intolerant of others
Cavalier,showing a lack of proper concern
Conniving,conspiring to do something illegal
Debacle,a sudden failure or fiasco
Dirge,"a lament, song, or poem for the dead"
Egress,exit or leave a place
Equanimity,composure under difficult situations
Fallacy,a mistaken or false belief
Gamut,complete scope or range of something
Hiatus,a pause or gap in a process
Impish,inclined to cause trouble for fun
Inert,lacking the ability to move
Invaluable,extremely useful or indispensable
Levity,lack of appropriate seriousness
Malediction,a curse or damnation
Megalomania,obsession with the exercise of power
Nepotism,favoring relatives/ friends with power
Pertinent,relevant to a particular matter
Puerile,childishly silly and trivial
Refute,prove something to be wrong
Saccharine,excessively sweet or sentimental
Semblance,outward form or appearance
Sparse,thinly dispersed or scattered
Superfluous,more than is required
Tout,aggressively try to sell something
Valiant,possessing courage or determination
Wistful,having vague or regretful longing
Adamant,uncompromising or inflexible
Amity,a friendly relationship
Ascertain,learn or find out something
Billow,"swell out, surge, or rise up"
Caveat,a specific warning or condition
Conscientious,wishing to do what is right
Debased,reduced in quality or value
Discern,perceive a thing clearly
Elated,full of high spirits and happiness
Equivocate,use unclear words to hide the truth
Fallible,capable of making mistakes
Garble,reproduce a thing in a distorted way
Hidebound,not willing to accept new ideas
Implement,put something into effect
Inevitable,an unavoidable situation
Invariably,occurring always or at all times
Liberal,open to new ideas in lieu of traditions
Melancholy,a feeling of gloomy sadness
Nirvana,state of happiness and peace
Overt,obviously done or shown openly
Peruse,read something in a careful way
Predisposition,a tendency to act in a particular way
Pugnacious,eager or quick to argue
Relic,a historical item that exists today
Sagacious,shrewd with good judgment
Specious,falsely appearing to be right or fair
Supersede,supplant or take the place of
Tranquil,free from tension or turmoil
Vapid,lacking excitement or challenge
Wither,become dry and shriveled
Abstain,restrain oneself from something
Adept,very skilled at something
Amnesty,an official pardon from offenses
Ascetic,having severe self‐ discipline
Blasé,lacking interest due to familiarity
Censure,express severe disapproval
Conservative,liking tradition and cautious of change
Debilitate,make someone weak and infirm
Disconcerting,troubling or unsettling
Elegy,a poem of serious reflection
Eradicate,destroy completely or put to an end
Fanatic,person filled with excessive passion
Hindrance,a thing that obstructs another
Impervious,impenetrable or cannot be affected
Impinge,have a negative impact on; intrude
Implicit,implied but not plainly expressed
Invective,abusive or highly critical language
Libertine,having a disregard for morality
Mellifluous,sweet and pleasant to hear
Mendacious,not telling the truth; lying
Oxymoron,contradictory terms side by side
Pervasive,spreading widely through an area
Preemptive,intended to forestall
Puissant,having great power or influence
Remittance,a sum of money spent for services
Salubrious,health‐giving or healthy
Spectrum,the entire range of something
Supplant,supersede and replace something
Transcend,go beyond the range or limits of
Wizened,shriveled or wrinkled with age
Amorous,relating to sexual attraction
Anodyne,not likely to offend or arouse tension
Asinine,extremely stupid or foolish
Blaspheme,speak badly about God or religion
Charlatan,a fraud trying to deceive others
Consort,associate with another repeatedly
Debunk,expose the falseness of a thing
Discord,a lack of harmony between things
Elicit,evoke or draw something forth
Erratic,unpredictable or irregular
Farce,an absurd event or play; a mockery
Garrulous,excessively talkative
Hitherto,up to this point or time
Impotent,helpless or powerless
Infatuation,an intense but short lived passion
Invidious,likely to cause anger in others
Licentious,lacking legal or moral restraints
Memorandum,a record made for future use
Nonchalant,appearing casually calm and relaxed
Pacify,quell the anger or excitement of
Paragon,perfect example of something
Preliminary,action before one more important
Pungent,sharply strong in taste or smell
Remonstrate,say or plead in protest
Salutary,having a good or helpful result
Spoof,a humorous imitation of a thing
Supple,moving easily and gracefully
Transgress,misbehave or break the rules
Variegate,add interest by giving variety to
Wreak,cause damage or harm to a thing
Adjourn,suspend with intent to resume
Amorphous,without defined shape or form
Asphyxiate,kill with depravation of air
Blatant,done openly and unashamedly
Chary,warily reluctant to do something
Consummate,of the highest degree
Debut,first appearance in a role or capacity
Discreet,cautious in one’s speech or actions
Eloquence,fluent speaking or writing
Erroneous,"wrong, incorrect, or mistaken"
Fastidious,concerned about accuracy and detail
Gauche,unsophisticated and awkward
Holistic,relating to wholes rather than parts
Impractical,not sensible or realistic
Infer,deduce by evidence or reason
Irascible,easily prone to anger or outbursts
Limber,capable of being shaped or bent
Menagerie,a zoo or varied mixture of things
Novice,an inexperienced person
Palatable,having a pleasant or agreeable taste
Petrous,like stone in hardness
Premature,occurring before the proper time
Punitive,intended as punishment
Restive,impatient and stubborn
Sanction,formally punish or give approval to
Sporadic,infrequent or irregular
Supplement,enhance by adding an extra element to
Transient,lasting only a short time
Vehement,showing strong and intense feeling
Wrest,yank a thing from another’s grasp
Admonish,warn or scold someone
Ample,enough or more than enough
Aspiration,a hope of achieving something
Blather,talk long without making sense
Chastise,severely scold or reprimand
Contemporary,"in the present, up‐ to‐date, or modern"
Decadent,luxuriously self‐ indulgent; corrupt
Discrepancy,lack of similarity between facts
Elucidate,make something clear; explain
Ersatz,inferiorly artificial or not genuine
Feral,"wild, untamed, or savage"
Gaudy,extravagantly bright or showy
Homage,special honor shown publicly
Improvidence,carelessness with money
Inflammatory,intended to arouse anger
Irate,feeling or showing great anger
Limpid,completely clear and unclouded
Mercurial,unpredictable in mood or mind
Noxious,poisonous or very unpleasant
Palpable,able to be touched or felt; plain to see
Petty,of very little importance
Preposterous,contrary to common sense
Purify,remove contaminates from
Remunerate,pay someone for services
Sanctuary,a place of refuge or safety
Sprightly,lively and full of energy
Surfeit,an excessive amount of a thing
Transitory,lasting only a short time
Vacuous,lacking thought or intelligence
Venerable,worthy of great respect
Abjure,reject or renounce something
Adroit,skillful with hands or mind
Anarchist,one for abolishing laws and order
Apoplectic,overcome with anger
Assert,state a fact forcefully
Blight,something that destroys
Chicanery,use of trickery to achieve a goal
Contempt,feeling a thing is worthless
Defamatory,injurious to one’s reputation
Disdain,feeling something is unworthy
Emaciate,waste away physically
Erudite,having or showing great knowledge
Fatuous,very silly and pointless
Germane,relevant to a considered subject
Homogeneous,alike or of the same kind
Imprudent,showing no care for consequences
Ingenious,"clever, original, or inventive"
Nihilistic,believing that life is meaningless
Nuance,a subtle difference in meaning
Paltry,small or meager amount
Petulance,the quality of being bad‐tempered
Prerequisite,required as a prior condition
Purist,very strict follower of tradition
Renege,go back on a promise
Sanguine,optimistic or positive
Spur,"urge, encourage, or stimulate"
Surly,bad‐tempered and unfriendly
Transmute,change in form or substance
Venerate,regard with great respect
Zeal,great enthusiasm and energy for
Adulate,praise someone excessively
Anathema,a thing someone intensely dislikes
Anomaly,a thing not normal or expected
Assiduous,showing great care and perseverance
Blandish,coax with kind words or flattery
Circumlocution,use of many words to be evasive
Contentious,likely to cause an argument
Defer,postpone; submit to one’s wishes
Disparage,"treat as weak, bad, or unimportant"
Emanate,spread out or originate from
Esoteric,likely understood by few people
Fawn,give exaggerated flattery for favor
Gingerly,showing great care or caution
Homonym,similar words with differing meanings
Impudent,not showing respect for another
Ingenuous,"innocent, naïve, or trusting"
Irrefutable,impossible to deny or disprove
Linger,stay somewhere longer than needed
Meticulous,showing great attention to detail
Nugatory,of no value or importance
Panacea,a solution for all difficulties
Phenomenon,a thing observed but hard to explain
Prerogative,a right exclusive to a certain class
Pusillanimous,lacking courage or determination
Repent,express sincere regret
Spurious,something fake or false
Surmise,assume truth without evidence
Transpose,transfer to a different place
Verbatim,in exactly the same words first used
Zenith,highest point or state of
