word,definition
approach,a way of dealing with something
absolve,"set or declare (someone) free from blame, guilt, or responsibility"
accelerate,increase in amount or extent
acclaim,praise enthusiastically and publicly
accumulate,gather together or acquire an increasing number or quantity of
acrid,angry and bitter
adapt,become adjusted to new conditions
adjacent,next to or adjoining something else
affliction,something that causes pain or suffering
ajar,(of a door or other opening) slightly open
akin,of similar character
alleviate,"make (suffering, deficiency, or a problem) less severe"
ambiguous,(of language) open to more than one interpretation; having a double meaning
ambivalent,having mixed feelings or contradictory ideas about something or someone
amiss,not quite right; inappropriate or out of place
animosity,strong hostility
annihilate,destroy utterly; obliterate
anonymous,(of a person) not identified by name; of unknown name
antagonize,cause (someone) to become hostile
anthology,a published collection of poems or other pieces of writing
apprehend,arrest (someone) for a crime
arbitrate,(of an independent person or body) reach an authoritative judgment or settlement
artifact,"an object made by a human being, typically an item of cultural or historical interest"
aspire,direct one’s hopes or ambitions toward achieving something
assimilate,"take in (information, ideas, or culture) and understand fully"
assumption,"a thing that is accepted as true or as certain to happen, without proof"
astute,having or showing an ability to accurately assess situations or people and turn this to one’s advantage
attribute,a quality or feature regarded as a characteristic or inherent part of someone or something
audacious,showing a willingness to take surprisingly bold risks
authority,"the power or right to give orders, make decisions, and enforce obedience"
avert,prevent or ward off (an undesirable occurrence)
bamboozle,fool or cheat (someone)
ban,officially or legally prohibit
bellow,shout something with a deep loud roar
benefit,an advantage or profit gained from something
beseech,ask (someone) urgently and fervently to do something
bestow,"confer or present (an honor, right, or gift)"
bewilder,cause (someone) to become perplexed and confused
bigot,a person who is intolerant toward those holding different opinions
blatant,(of bad behavior) done openly and unashamedly
bleak,(of a situation or future prospect) not hopeful or encouraging; unlikely to have a favorable outcome
braggart,a person who boasts about achievements or possessions
brawl,a rough or noisy fight or quarrel
browse,survey goods for sale in a leisurely and casual way
bystander,a person who is present at an event or incident but does not take part
candid,truthful and straightforward; frank
canine,relating to or resembling a dog or dogs
canny,"having or showing shrewdness and good judgment, especially in money or business matters"
capable,open to or admitting of something
capricious,given to sudden and unaccountable changes of mood or behavior
capsize,(of a boat) overturn in the water
casual,relaxed and unconcerned
casualty,a person or thing badly affected by an event or situation
cater,try to satisfy (a particular need or demand)
cause,"a principle, aim, or movement that, because of a deep commitment, one is prepared to defend or advocate"
characterize,describe the distinctive nature or features of
chorus,a simultaneous utterance of something by many people
citadel,"a fortress, typically on high ground, protecting or dominating a city"
cite,mention as an example
civilization,"the comfort and convenience of modern life, regarded as available only in towns and cities"
clad,clothed
clamber,"climb, move, or get in or out of something in an awkward and laborious way"
clarify,make (a statement or situation) less confused and more clearly comprehensible
climax,"the most intense, exciting, or important point of something"
commemorate,recall and show respect for (someone or something)
commence,begin; start
compel,force or oblige (someone) to do something
competent,"having the necessary ability, knowledge, or skill to do something successfully"
compose,(of elements) constitute or make up (a whole)
comprise,consist of; be made up of
compromise,an agreement or a settlement of a dispute that is reached by each side making concessions
concept,an abstract idea; a general notion
concise,giving a lot of information clearly and in a few words; brief but comprehensive
conclusive,(of evidence or argument) serving to prove a case; decisive or convincing
condemn,"express complete disapproval of, typically in public; censure"
confront,face up to and deal with (a problem or difficult situation)
congested,"blocked up with or too full of something, in particular"
conjecture,form an opinion or supposition about (something) on the basis of incomplete information
conjure,call (an image) to mind
connoisseur,an expert judge in matters of taste
conservative,(of an estimate) purposely low for the sake of caution
construct,"an idea or theory containing various conceptual elements, typically one considered to be subjective and not based on empirical evidence"
contagious,"(of an emotion, feeling, or attitude) likely to spread to and affect others"
contrast,differ strikingly
conventional,based on or in accordance with what is generally done or believed
convey,transport or carry to a place
correspond,have a close similarity; match or agree almost exactly
corroborate,"confirm or give support to (a statement, theory, or finding)"
corrupt,having or showing a willingness to act dishonestly in return for money or personal gain
counterfeit,a fraudulent imitation of something else; a forgery
covet,yearn to possess or have (something)
crucial,"decisive or critical, especially in the success or failure of something"
crusade,"an organized campaign concerning a political, social, or religious issue, typically motivated by a fervent desire for change"
culminate,reach a climax or point of highest development
customary,"according to the customs or usual practices associated with a particular society, place, or set of circumstances"
debut,"the first public appearance of a person in a role, new product or presentation of a theatrical show"
deceased,dead; no longer living
deceitful,guilty of or involving deceit; deceiving or misleading others
deceptive,giving an appearance or impression different from the true one; misleading
decipher,"succeed in understanding, interpreting, or identifying (something)"
decree,an official order issued by a legal authority
deface,spoil the surface or appearance of (something)
defect,abandon one’s country or cause in favor of an opposing one
demeanor,outward behavior or bearing
dependent,unable to do without
deplore,feel or express strong disapproval of (something)
deploy,bring into effective action; utilize
derive,obtain something from (a specified source)
desist,cease; abstain
desolate,(of a place) deserted of people and in a state of bleak and dismal emptiness
detach,disengage (something or part of something) and remove i
deter,discourage (someone) from doing something
devastate,destroy or ruin (something)
dialect,a particular form of a language that is peculiar to a specific region or social group
dire,(of a situation or event) extremely serious or urgent
discern,perceive or recognize (something)
disdain,the feeling that someone or something is unworthy of one’s consideration or respect
disgruntled,angry or dissatisfied
dishearten,cause (someone) to lose determination or confidence
dismal,pitifully or disgracefully bad
dismantle,take (a machine or structure) to pieces
dispatch,send off to a destination or for a purpose
disposition,a person’s inherent qualities of mind and character
distraught,deeply upset and agitated
docile,ready to accept control or instruction; submissive
doctrine,"a belief or set of beliefs held and taught by a church, political party, or other group"
downright,to an extreme degree; thoroughly
dub,give an unofficial name or nickname to (someone or something)
durable,"able to withstand wear, pressure, or damage; hard-wearing"
eccentric,(of a person or their behavior) unconventional and slightly strange
elapse,(of time) pass or go by
eligible,having the right to do or obtain something; satisfying the appropriate conditions
elite,a select part of a group that is superior to the rest in terms of ability or qualities
embargo,an official prohibition on any activity
emphasize,make (something) more clearly defined
encompass,include comprehensively
encroach,intrude on (a person’s territory or a thing considered to be a right)
enhance,"intensify, increase, or further improve the quality, value, or extent of"
enigma,"a person or thing that is mysterious, puzzling, or difficult to understand"
epoch,"a period of time in history or a person’s life, typically one marked by notable events or particular characteristics"
era,a long and distinct period of history with a particular feature or characteristic
eventful,marked by interesting or exciting events
evoke,bring or recall to the conscious mind
evolve,"develop gradually, especially from a simple to a more complex form"
exceptional,unusual; not typical
excerpt,"a short extract from a film, broadcast, or piece of music or writing"
excruciating,"mentally agonizing; very embarrassing, awkward, or tedious"
exemplify,be a typical example of
exotic,of a kind not used for ordinary purposes or not ordinarily encountered
exposition,a large public exhibition of art or trade goods
facilitate,make (an action or process) easy or easier
fallacy,"a mistaken belief, especially one based on unsound argument"
famished,extremely hungry
fastidious,very attentive to and concerned about accuracy and detail
feasible,possible to do easily or conveniently
fend,"look after and provide for oneself, without any help from others"
ferret,look around in a place or container in search of something
flair,a special or instinctive aptitude or ability for doing something well
flustered,(someone) to be agitated or confused
foreboding,a feeling that something bad will happen
forfeit,lose or be deprived of (property or a right or privilege) as a penalty for wrongdoing
formula,"a method, statement, or procedure for achieving something"
fortify,strengthen or invigorate (someone) mentally or physically
foster,"encourage or promote the development of (something, typically something regarded as good)"
gaunt,"(of a person) lean and haggard, especially because of suffering, hunger, or age"
generation,a single stage in the development of a type of people or product
gingerly,in a careful or cautious manner
glut,an excessively abundant supply of something
grapple,struggle with or work hard to deal with or overcome (a difficulty or challenge)
grope,feel about or search blindly or uncertainly with the hands
gullible,easily persuaded to believe something
haggard,"looking exhausted and unwell, especially from fatigue, worry, or suffering"
haven,a place of safety or refuge
heritage,"valued objects and qualities such as cultural traditions, unspoiled countryside, and historic buildings that have been passed down from previous generations"
hindrance,"a thing that provides resistance, delay, or obstruction to something or someone"
hover,remain at or near a particular level
humane,having or showing compassion or benevolence
imperative,of vital importance; crucial
inaugurate,"begin or introduce (a system, policy, or period)"
incense,make (someone) very angry
indifferent,having no particular interest or sympathy; unconcerned
inevitable,certain to happen; unavoidable
infinite,very great in amount or degree
infuriate,make (someone) extremely angry and impatient
inhabitants,a person or animal that lives in or occupies a place
initiate,cause (a process or action) to begin
instill,"radually but firmly establish (an idea or attitude, especially a desirable one) in a person’s mind"
institute,"set in motion or establish (something, especially a program, system, or inquiry)"
integrate,combine (one thing) with another so that they become a whole
interrogate,"ask questions of (someone, especially a suspect or a prisoner) closely, aggressively, or formally"
intervene,come between so as to prevent or alter a result or course of events
intricate,very complicated or detailed
inventive,showing creativity or original thought
inventory,a quantity of goods held in stock
irascible,having or showing a tendency to be easily angered
jurisdiction,the official power to make legal decisions and judgments
languish,fail to make progress or be successful
liberal,"given, used, or occurring in generous amounts"
loll,"sit, lie, or stand in a lazy, relaxed way"
lucrative,producing a great deal of profit
ludicrous,"so foolish, unreasonable, or out of place as to be amusing"
luminous,full of or shedding light
mandatory,required by law or rules
memoir,a historical account or biography written from personal knowledge or special sources
mercenary,a person primarily concerned with material reward at the expense of ethics
merge,combine or cause to combine to form a single entity
mien,a person’s look or manner
minimize,"reduce (something, especially something unwanted or unpleasant) to the smallest possible amount or degree"
muse,be absorbed in thought
muster,"summon up (a particular feeling, attitude, or response)"
obnoxious,extremely unpleasant
onslaught,a fierce or destructive attack
opposition,"resistance or dissent, expressed in action or argument"
ornate,made in an intricate shape or decorated with complex patterns
ovation,"a sustained and enthusiastic show of appreciation from an audience, especially by means of applause"
overt,"done or shown openly; plainly or readily apparent, not secret or hidden"
pang,a sudden sharp pain or painful emotion
panorama,an unbroken view of the whole region surrounding an observer
perceive,come to realize or understand
phenomenon,"a remarkable person, thing, or event"
pioneer,a person who is among the first to research and develop a new area of knowledge or activity
pithy,(of language or style) concise and forcefully expressive
pivotal,of crucial importance in relation to the development or success of something else
plagiarize,take (the work or an idea of someone else) and pass it off as one’s own
plausible,(of an argument or statement) seeming reasonable or probable
plunder,"steal (goods), typically using force and in a time of disorder"
porous,of a rock or other material) having minute spaces or holes through which liquid or air may pass
prediction,a forecast
preposterous,contrary to reason or common sense
principal,first in order of importance; main
procedure,an established or official way of doing something
prodigy,"a person, especially a young one, endowed with exceptional qualities or abilities"
proficient,competent or skilled in doing or using something
prospective,likely to happen at a future date
prudent,acting with or showing care and thought for the future
pseudonym,a fictitious name
pungent,having a sharply strong taste or smell
quote,repeat or copy out (a group of words from a text or speech)
rankle,annoy or irritate (someone)
rational,based on or in accordance with reason or logic
rebel,"a person who resists authority, control, or convention"
rebuff,reject (someone or something) in an abrupt or ungracious manner
reception,the way in which a person or group of people reacts to someone or something
recourse,a source of help in a difficult situation
recur,"occur again, periodically, or repeatedly"
relinquish,voluntarily cease to keep or claim; give up
renounce,"formally declare one’s abandonment of (a claim, right, or possession)"
renown,the condition of being known or talked about by many people; fame
resilient,(of a person or animal) able to withstand or recover quickly from difficult conditions
response,a reaction to something
revenue,"income, especially when of a company or organization and of a substantial nature"
rubble,"waste or rough fragments of stone, brick, concrete, etc., especially as the debris from the demolition of buildings"
rudimentary,involving or limited to basic principles
rue,bitterly regret (something one has done or allowed to happen)
sage,"having, showing, or indicating profound wisdom"
sedative,promoting calm or inducing sleep
serene,"calm, peaceful, and untroubled; tranquil"
servile,having or showing an excessive willingness to serve or please others
shackle,restrain; limit
significant,sufficiently great or important to be worthy of attention; noteworthy
similar,resembling without being identical
simultaneous,"occurring, operating, or done at the same time"
sleek,"(of an object) having an elegant, streamlined shape or design"
source,"a place, person, or thing from which something comes or can be obtained"
sovereign,possessing supreme or ultimate power
specific,clearly defined or identified
sporadic,occurring at irregular intervals or only in a few places
stamina,the ability to sustain prolonged physical or mental effort
stance,the attitude of a person or organization toward something
staple,"a main or important element of something, especially of a diet"
stint,a person’s fixed or allotted period of work
strident,loud and harsh; grating
sublime,"of such excellence, grandeur, or beauty as to inspire great admiration or awe"
subside,"become less intense, violent, or severe"
succumb,"fail to resist (pressure, temptation, or some other negative force)"
surmise,suppose that something is true without having evidence to confirm it
surpass,exceed; be greater than
susceptible,likely or liable to be influenced or harmed by a particular thing
swelter,of a person or the atmosphere at a particular time or place) be uncomfortably hot
talisman,"an object, typically an inscribed ring or stone, that is thought to have magic powers and to bring good luck"
tedious,"too long, slow, or dull"
teem,be full of or swarming with
tentative,not certain or fixed; provisional
theme,"the subject of a talk, a piece of writing, a person’s thoughts, or an exhibition; a topic"
tirade,"a long, angry speech of criticism or accusation"
tract,"an area of indefinite extent, typically a large one"
transition,the process or a period of changing from one state or condition to another
treason,the action of betraying someone or something
trepidation,a feeling of fear or agitation about something that may happen
turbulent,"characterized by conflict, disorder, or confusion; not controlled or calm"
tycoon,"a wealthy, powerful person in business or industry"
ultimate,being the best or most extreme example of its kind
ungainly,(of a person or movement) awkward; clumsy
universal,"of, affecting, or done by all people or things in the world or in a particular group"
validate,check or prove the acceptability or accuracy of (something)
variable,not consistent or having a fixed pattern; liable to change
vie,compete eagerly with someone in order to do or achieve something
vilify,speak or write about in an abusively disparaging manner
voracious,having a very eager approach to an activity
wage,carry on (a war or campaign)
wrangle,have a long and complicated dispute
comprehensive,complete; including all or nearly all elements or aspects of something
credible,able to be believed; convincing
cursory,hasty and therefore not thorough or detailed
cynic,a person who believes that people are motivated purely by self-interest rather than acting for honorable or unselfish reasons
dearth,a scarcity or lack of something
debilitating,tending to weaken something
deficient,insufficient or inadequate
demonstrate,show or express (a feeling or quality) by one’s actions
detract,reduce or take away the worth or value of
digress,leave the main subject temporarily in speech or writing
dilemma,a difficult situation or problem
distort,give a misleading or false account or impression of
diversion,an instance of turning something aside from its course
elation,great happiness
elicit,"evoke or draw out (a response, answer, or fact) from someone in reaction to one’s own actions or questions"
establish,show (something) to be true or certain by determining the facts
exacerbate,"make (a problem, bad situation, or negative feeling) worse"
expansion,the action of becoming larger or more extensive
expectation,a strong belief that something will happen or be the case in the future
explicit,"stated clearly and in detail, leaving no room for confusion or doubt"
express,convey (a thought or feeling) in words or by gestures and conduct
falter,start to lose strength or momentum
familiar,having a good knowledge of
feign,"pretend to be affected by (a feeling, state, or injury)"
fluctuate,rise and fall irregularly in number or amount
formulate,create or devise methodically (a strategy or a proposal)
gist,the substance or essence of a speech or text
hypothetical,supposed but not necessarily real or true
implausible,(of an argument or statement) not seeming reasonable or probable; failing to convince
implication,a likely consequence of something
imply,strongly suggest the truth or existence of (something not expressly stated)
incentive,a thing that motivates or encourages one to do something
incoherent,(of spoken or written language) expressed in an incomprehensible or confusing way
indolent,wanting to avoid activity or exertion; lazy
intercede,intervene on behalf of another
interpret,"understand (an action, mood, or way of behaving) as having a particular meaning or significance"
isolate,identify (something) and examine or deal with it separately
jeopardize,"put (someone or something) into a situation in which there is a danger of loss, harm, or failure"
mediate,intervene between people in a dispute in order to bring about an agreement or reconciliation
niche,a comfortable or suitable position in life or employment
obscure,not clearly expressed or easily understood
pacify,"quell the anger, agitation, or excitement of"
perception,"a way of regarding, understanding, or interpreting something; a mental impression"
pertinent,elevant or applicable to a particular matter
proponent,"a person who advocates a theory, proposal, or project"
punitive,inflicting or intended as punishment
rapport,a close and harmonious relationship in which the people or groups concerned understand each other’s feelings or ideas and communicate well
rationale,a set of reasons or a logical basis for a course of action or a particular belief
reconcile,restore friendly relations between
redundant,not or no longer needed or useful
respective,belonging or relating separately to each of two or more people or things
sabotage,"deliberately destroy, damage, or obstruct (something)"
scrutiny,critical observation or examination
squander,"waste (something, especially money or time) in a reckless and foolish manner"
technique,"a way of carrying out a particular task, especially the execution or performance of an artistic work or a scientific procedure"
traumatic,emotionally disturbing or distressing
turmoil,"a state of great disturbance, confusion, or uncertainty"
valid,of an argument or point) having a sound basis in logic or fact; reasonable or cogent
verify,"make sure or demonstrate that (something) is true, accurate, or justified"
viable,capable of working successfully; feasible
vulnerable,likely to suffer from physical or emotional attack or harm
